anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative
0.0,0.05555555555555555,0.0,0.027777777777777776,0.05555555555555555,0.0,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.0
0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
0.0,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.09090909090909091,0.05454545454545454
0.031746031746031744,0.047619047619047616,0.015873015873015872,0.031746031746031744,0.047619047619047616,0.047619047619047616,0.031746031746031744,0.031746031746031744,0.047619047619047616,0.06349206349206349
0.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.041666666666666664
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0070921985815602835,0.02127659574468085,0.0035460992907801418,0.0,0.02127659574468085,0.0070921985815602835,0.010638297872340425,0.03546099290780142,0.05319148936170213,0.01773049645390071
0.011764705882352941,0.03529411764705882,0.0,0.011764705882352941,0.023529411764705882,0.011764705882352941,0.03529411764705882,0.03529411764705882,0.058823529411764705,0.011764705882352941
0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
0.0,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523
0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0
0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.16666666666666666,0.0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0
0.012295081967213115,0.03278688524590164,0.0,0.004098360655737705,0.040983606557377046,0.004098360655737705,0.012295081967213115,0.036885245901639344,0.0778688524590164,0.020491803278688523
